userId,movieId,rating,timestamp
1,1,5.0,1000000001
1,2,4.0,1000000002
1,9,4.5,1000000003
1,15,4.0,1000000004
1,13,3.5,1000000005
1,10,3.0,1000000006
1,3,2.0,1000000007
2,3,4.0,1000000011
2,5,4.0,1000000012
2,8,4.5,1000000013
2,11,5.0,1000000014
2,16,4.5,1000000015
2,17,5.0,1000000016
2,1,3.0,1000000017
3,6,5.0,1000000021
3,7,4.0,1000000022
3,10,4.5,1000000023
3,11,4.0,1000000024
3,18,5.0,1000000025
3,14,4.0,1000000026
3,13,3.0,1000000027
4,8,5.0,1000000031
4,12,4.5,1000000032
4,14,5.0,1000000033
4,16,4.0,1000000034
4,17,4.5,1000000035
4,3,4.0,1000000036
4,2,2.0,1000000037
5,4,4.5,1000000041
5,6,4.0,1000000042
5,13,5.0,1000000043
5,1,4.0,1000000044
5,15,3.5,1000000045
5,9,3.0,1000000046
5,5,2.5,1000000047
6,1,4.0,1000000051
6,10,5.0,1000000052
6,18,4.5,1000000053
6,11,4.0,1000000054
6,6,3.5,1000000055
6,7,3.0,1000000056
6,17,4.0,1000000057
7,3,4.5,1000000061
7,5,4.0,1000000062
7,7,4.0,1000000063
7,14,5.0,1000000064
7,16,5.0,1000000065
7,17,4.5,1000000066
7,12,4.0,1000000067
8,1,5.0,1000000071
8,2,4.5,1000000072
8,9,5.0,1000000073
8,15,4.5,1000000074
8,4,3.0,1000000075
8,13,4.0,1000000076
8,8,2.0,1000000077
9,8,5.0,1000000081
9,17,5.0,1000000082
9,12,4.0,1000000083
9,14,4.5,1000000084
9,3,3.5,1000000085
9,10,4.0,1000000086
9,2,2.5,1000000087
10,6,4.5,1000000091
10,10,4.0,1000000092
10,18,5.0,1000000093
10,4,4.0,1000000094
10,13,4.5,1000000095
10,11,3.5,1000000096
10,16,3.0,1000000097

