userId,movieId,rating,timestamp
10001,1318447,3.23,1776988800
100028,1318447,3.23,1776988800
100053,1318447,3.23,1776988800
10001,1226863,3.35,1775001600
110751,1226863,3.35,1775001600
100035,1226863,3.35,1775001600
100012,1226863,3.35,1775001600
100014,1226863,3.35,1775001600
100016,1226863,3.35,1775001600
10001,1198994,3.5,1769040000
100027,1198994,3.5,1769040000
100053,1198994,3.5,1769040000
100035,1198994,3.5,1769040000
10001,10867,3.71,972604800
100018,10867,3.71,972604800
10001,936075,3.75,1776816000
110402,936075,3.75,1776816000
100018,936075,3.75,1776816000
10001,1523145,3.45,1774483200
110749,1523145,3.45,1774483200
100018,1523145,3.45,1774483200
10001,1292695,3.32,1774396800
100028,1292695,3.32,1774396800
100035,1292695,3.32,1774396800
100027,1292695,3.32,1774396800
10001,1327819,3.85,1772582400
100012,1327819,3.85,1772582400
100016,1327819,3.85,1772582400
100035,1327819,3.85,1772582400
110751,1327819,3.85,1772582400
100878,1327819,3.85,1772582400
10001,350,3.7,1151539200
100018,350,3.7,1151539200
100035,350,3.7,1151539200
10001,1314481,3.39,1777420800
100035,1314481,3.39,1777420800
100018,1314481,3.39,1777420800
10001,83533,3.68,1765929600
100878,83533,3.68,1765929600
100012,83533,3.68,1765929600
100014,83533,3.68,1765929600
10001,1613798,3.54,1772064000
100028,1613798,3.54,1772064000
100053,1613798,3.54,1772064000
10001,687163,4.11,1773532800
100878,687163,4.11,1773532800
100012,687163,4.11,1773532800
10001,1297842,3.96,1770768000
100016,1297842,3.96,1770768000
100035,1297842,3.96,1770768000
110751,1297842,3.96,1770768000
10001,1290821,3.4,1769558400
100028,1290821,3.4,1769558400
100080,1290821,3.4,1769558400
100053,1290821,3.4,1769558400
10001,1311031,3.85,1752796800
100016,1311031,3.85,1752796800
100028,1311031,3.85,1752796800
100014,1311031,3.85,1752796800
10001,1084242,3.8,1764115200
100012,1084242,3.8,1764115200
100016,1084242,3.8,1764115200
100035,1084242,3.8,1764115200
110751,1084242,3.8,1764115200
109648,1084242,3.8,1764115200
10001,440249,2.69,1490659200
100099,440249,2.69,1490659200
10001,1242898,3.85,1762300800
100028,1242898,3.85,1762300800
100878,1242898,3.85,1762300800
100012,1242898,3.85,1762300800
10001,1171145,3.47,1770768000
100080,1171145,3.47,1770768000
100053,1171145,3.47,1770768000
